study_id,name,value
abc_2009_le,study,Addison Blackburn Cotti 2009
abc_2009_le,owe_b,0.452
abc_2009_le,owe_se,0.436
abc_2009_le,owe_lb,-0.402
abc_2009_le,owe_ub,1.307
abc_2009_le,owe_magnitude,Positive
abc_2009_le,group,Retail
abc_2009_le,overall,0
abc_2009_le,teens,0
abc_2009_le,restaurants_retail,1
abc_2009_le,country,US
abc_2009_le,averaged,1
abc_2009_le,owe_reported,0
abc_2009_le,published,1
abc_2009_le,authors,"John T. Addison, McKinley L. Blackburn and Chad D. Cotti"
abc_2009_le,year,2009
abc_2009_le,title,Do Minimum Wages Raise Employment? Evidence from the U.S. Retail-trade Sector
abc_2009_le,journal,Labour Economics
abc_2009_le,url,https://doi.org/10.1016/j.labeco.2008.12.007
abc_2009_le,source,"Weighted average of wage and employment elasticities for three sectors with statistically positive wage effects: convenience stores; specialty food stores; beer, wine, and liquor stores. Elasticities from Table 4 (estimates with county-level trends). Weights are mean employment counts from Table 1."
abc_2009_le,data_version,0.16.0
abc_2012_bjir,study,Addison Blackburn Cotti 2012
abc_2012_bjir,owe_b,-0.035
abc_2012_bjir,owe_se,0.193
abc_2012_bjir,owe_lb,-0.414
abc_2012_bjir,owe_ub,0.343
abc_2012_bjir,owe_magnitude,Small negative
abc_2012_bjir,group,Restaurants
abc_2012_bjir,overall,0
abc_2012_bjir,teens,0
abc_2012_bjir,restaurants_retail,1
abc_2012_bjir,country,US
abc_2012_bjir,averaged,0
abc_2012_bjir,owe_reported,0
abc_2012_bjir,published,1
abc_2012_bjir,authors,"John T. Addison, McKinley L. Blackburn and Chad D. Cotti"
abc_2012_bjir,year,2012
abc_2012_bjir,title,The Effect of Minimum Wages on Labour Market Outcomes: County-Level Estimates from the Restaurant-and-Bar Sector
abc_2012_bjir,journal,British Journal of Industrial Relations
abc_2012_bjir,url,https://doi.org/10.1111/j.1467-8543.2010.00819.x
abc_2012_bjir,source,"Wage and employment elasticities from Table 3 (estimates with county-level trends). Authors write that ""specifications with trends are to be preferred"" (p.426)."
abc_2012_bjir,data_version,0.16.0
abc_2013_le,study,Addison Blackburn Cotti 2013
abc_2013_le,owe_b,-0.084
abc_2013_le,owe_se,0.122
abc_2013_le,owe_lb,-0.324
abc_2013_le,owe_ub,0.156
abc_2013_le,owe_magnitude,Small negative
abc_2013_le,group,Restaurants
abc_2013_le,overall,0
abc_2013_le,teens,0
abc_2013_le,restaurants_retail,1
abc_2013_le,country,US
abc_2013_le,averaged,0
abc_2013_le,owe_reported,0
abc_2013_le,published,1
abc_2013_le,authors,"John T. Addison, McKinley L. Blackburn and Chad D. Cotti"
abc_2013_le,year,2013
abc_2013_le,title,Minimum Wage Increases in a Recessionary Environment
abc_2013_le,journal,Labour Economics
abc_2013_le,url,https://doi.org/10.1016/j.labeco.2013.02.004
abc_2013_le,source,"Earnings and employment elasticities from Table 2, row 1 (food and drinking places), ""county trends"" specifications. Authors prefer this specification over ""basic"" and ""border county"": ""our preference is to direclty model county-specific trends, and with this approach the estimates are quite precise"" (p.35). No reported wage effects for analysis using CPS or ACS, or for unemployment heterogeneity analysis."
abc_2013_le,data_version,0.16.0
abc_2015_izajle,study,Addison Blackburn Cotti 2015
abc_2015_izajle,owe_b,-0.251
abc_2015_izajle,owe_se,0.138
abc_2015_izajle,owe_lb,-0.522
abc_2015_izajle,owe_ub,0.019
abc_2015_izajle,owe_magnitude,Small negative
abc_2015_izajle,group,Restaurants
abc_2015_izajle,overall,0
abc_2015_izajle,teens,0
abc_2015_izajle,restaurants_retail,1
abc_2015_izajle,country,US
abc_2015_izajle,averaged,0
abc_2015_izajle,owe_reported,0
abc_2015_izajle,published,1
abc_2015_izajle,authors,"John T. Addison, McKinley L. Blackburn and Chad D. Cotti"
abc_2015_izajle,year,2015
abc_2015_izajle,title,On the Robustness of Minimum Wage Effects: Geographically-Disparate Trends and Job Growth Equations
abc_2015_izajle,journal,IZA Journal of Labor Economics
abc_2015_izajle,url,https://doi.org/10.1186/s40172-015-0039-z
